epoch,wer,cer,acc,mic_accuracy,mic_precision,mic_recall,mic_f1,d_avg_loss,p_avg_loss
0,0.9726876291025939,0.6425955565200889,53.79812695109742,0.5379812695109102,0.5379812695109103,0.5822072072071702,0.5592212006489738,0.6136418045484363,106.57032832137551
1,0.916226761533166,0.48653121015652695,56.087408949016016,0.560874089490089,0.5608740894900891,0.6386255924169959,0.597229916897464,0.5362093915113092,76.09519400012523
2,0.8411751204957558,0.4242465344654547,59.729448491159246,0.5972944849115098,0.5972944849115099,0.7416020671833377,0.6616714697405593,0.49275251684857196,61.94098671791193
3,0.8018131742024351,0.38759731980576895,69.5109261186296,0.695109261186183,0.6951092611861831,1.1399317406138978,0.8636069812538522,0.46081361603035936,51.69670455803926
4,0.7742712875832021,0.3705341399235022,74.40166493236478,0.7440166493235195,0.7440166493235196,1.4532520325195504,0.9841706813486667,0.43237227356190355,43.13362512427894
5,0.7574018820289218,0.3478013183951405,72.32049947971151,0.7232049947969934,0.7232049947969935,1.3063909774430027,0.9310113864699633,0.40863865131167854,35.16392220466979
6,0.7438604544411321,0.3465534546835598,74.19354838709947,0.7419354838708669,0.741935483870867,1.437499999999244,0.9787234042550563,0.38735543957573726,27.763964704469053
7,0.7280238696350732,0.3358652307191511,70.75962539022157,0.7075962539020987,0.7075962539020988,1.2099644128108826,0.8929743926458868,0.3690887444132193,21.350495444782357
8,0.7268762910259384,0.33304397363209903,79.91675338189596,0.799167533818814,0.7991675338188141,1.9896373056979384,1.1403118040085285,0.3553915868274271,15.942869672384568
9,0.724351618085842,0.33109079564875527,75.96253902185474,0.7596253902184142,0.7596253902184144,1.580086580085645,1.0260014054810818,0.3416925864075258,11.675734241516214
10,0.7215974294239187,0.3286493231695756,81.89386056191655,0.8189386056190139,0.818938605619014,2.2614942528715387,1.202444614208891,0.33449551882288897,8.461072117017741
11,0.7197613036493032,0.3280253913137853,78.87617065556933,0.7887617065555509,0.788761706555551,1.866995073890279,1.1089978054129574,0.3288585949358569,6.0750241150951645
12,0.7266467753041115,0.3310636681767644,80.74921956295726,0.8074921956294244,0.8074921956294245,2.0972972972955706,1.1660405709988484,0.3259693895777027,4.4872581544248655
13,0.7170071149873799,0.3296530396332384,79.39646201873263,0.7939646201871824,0.7939646201871825,1.9267676767662358,1.1245394252022847,0.32525881215822394,3.477126724285056
