epoch,wer,cer,acc,mic_accuracy,mic_precision,mic_recall,mic_f1,d_avg_loss,p_avg_loss
0,0.9211438474870025,0.522688424459285,52.714535901930596,0.864898674005033,0.5271453590176156,0.5574074074037201,0.5418541854159286,1.648596476067905,93.83936229847244
1,0.8059888311188157,0.3914351482553516,61.471103327499,0.8899174380779804,0.6147110332729318,0.7977272727204536,0.6943620178002795,1.5901959897247897,60.33793006772112
2,0.7497592913537479,0.35025184037195034,59.89492119089669,0.88541406054485,0.5989492119069749,0.7467248908236112,0.6647230320663555,1.5466777924682342,47.355122118999525
3,0.7038320816483756,0.31709095881669364,59.544658493873946,0.884413309981932,0.5954465849367623,0.7359307359248035,0.6582768635007964,1.4950649924064439,37.698921590115006
4,0.6700365877142339,0.29976981106274514,56.479859894925,0.8756567425564004,0.5647985989474017,0.6488933601561868,0.6039325842665583,1.4595167731212475,29.48181238233444
5,0.6513575967648791,0.2864142945050954,57.35551663748184,0.8781586189636952,0.5735551663729334,0.6724845995842417,0.6190926275960145,1.4293024903100162,22.305358436535354
6,0.6449066050452567,0.28103562230781665,58.75656742557279,0.8821616212153667,0.5875656742537839,0.7123142250474703,0.6439539347374454,1.4025134438129176,16.20637435498319
7,0.6345079915270592,0.2750643845294818,55.69176882662384,0.8734050537898351,0.5569176882644232,0.6284584980191911,0.5905292479078675,1.3799773675314397,11.303180977793817
8,0.6320046216060117,0.2741755361578976,59.194395796851204,0.8834125594190141,0.5919439579665496,0.7253218884062315,0.6518804242973629,1.3583969323902816,7.593939672715326
9,0.6274792990564257,0.2711215443170698,59.28196147110689,0.8836627470597436,0.5928196147091028,0.7279569892414899,0.6534749034713849,1.339076032119869,4.968345478732007
10,0.6254573464278873,0.2690019828155998,59.89492119089669,0.88541406054485,0.5989492119069749,0.7467248908236114,0.6647230320663556,1.3222597601153194,3.2882543858716615
